name,sku,manufacturer,description,Size 7îx48î,Size 12îx24î,Quantity 7îx48î,Quanity 12îx24î,Bevel,Finish,Warranty,Installation,Indoor Air Quality,Radiant Heat,Shade,Performance Class,Colour,Usage,Size,Format,Installation Method,Space,construction,image
WHITE OAK BUCKEYE,LAULMCE236F,Gevaldo 4,"Available in Oak & Maple wood species, Gevaldo 4""ù is an ideal alternative to traditional ¬æ""ù solid hardwood flooring. Gevaldo features a 12-ply engineered construction for maximum stability. Traditional, smooth, low sheen, Maximus Aluminum Oxide finish. Four-side, micro beveled edges. 2mm sliced face veneer. No 1 Common & Better appearance grade presents a limited amount of natural Oak or Maple character. Tongue and groove profile. Glue, staple or nail down installation recommended.",,,,,Four-sided micro bevel,,25 Year (Residential) 5 Year (Light Commercial),"Glue, float, staple or nail",,Can be installed over water based radiant heat. See installation instructions. Only Oak and Walnut species are approved .,Medium,,Brown,Floor,,,"Glue, Staple, Nail","Basement, Bedroom, Kitchen, Living Room",,https://www.division9.ca/img/common_pixel.svg
WHITE OAK BUCKSKIN,LAULMAN2U1S30,Glenbury,"Rustic, random width (4""ù/5""ù/6""ù) planks in contemporary weathered colours. The decor surface is treated to give the wood an aged appearance, while allowing the natural character of the wood to come through. Light brushing, hand-sculpting, and a unique colour process produces a high-end, custom look and feel.",,,,,4 sided bevel,Maximus Aluminum Oxide,25 year residential & 5 year light commercial,"nail, staple, glue, float",,can be installed over water based radiant heat - see installation instructions,Medium,,Brown,Floor,,,"Glue, Float, Staple, Nail","Basement, Bedroom, Living Room, Bathroom, Indoor",,https://www.division9.ca/img/common_pixel.svg
WHITE OAK BURTON,LAULMBN2N5FP,Berkshire,"Random width (3""ù/ 5""ù/ 7""ù) planks with modern furniture finish. Tough Maximus aluminum oxide protects each plank with abrasion-resistant finish.",,,,,4 sided micro bevel,Maximus Aluminum Oxide,"25 year residential, 5 year light commercial","staple, glue, float",,can be installed over water based radiant heat - see installation instructions. Only Oak and Walnut species are approved .,Medium,,Brown,Floor,,,"Glue, Float, Staple, Nail","Basement, Bedroom, Living Room",Engineered,https://www.division9.ca/img/common_pixel.svg
WHITE OAK BUSHWICK,LAUCONTEXBUSHWI,Context,"""¢ Ply-core engineered construction handles moisture changes easily. ""¢ 1/2""ù x 5""ù Contemporary Brushed European White Oak. ""¢ Durable, ultra-matt urethane finish. Modern colours. ""¢ Drop Lock profile with four-side micro-bevels. ""¢ Easy installation: Glue, float or staple. ""¢ Install on any level of the house. ""¢ CAN/CSA0160-16 and FloorScore certified for indoor air quality.","1/2"" x 5"" x RL(15.75-47.24) / 12mm x 120mm x RL(400-1200mm)",,"24 .8 SF/CT, 36 CT/PA",,4-sided micro bevel,UV,25 year residential & 5 year light commercial,"Float, glue, staple, or nail",,Can be installed over radiant heat,Dark,,Brown,Floor,,,"Click, Glue, Float, Staple, Nail","Basement, Bedroom, Kitchen, Laundry Room, Living Room, Indoor",,https://www.division9.ca/img/common_pixel.svg
WHITE OAK CALAIS,RHWSUMMCAL,Summit,"Engineered plank offered in brushed European White Oak and Birch at 3/4"" x 6"" x 72"" (RL) size. The tongue and groove profile (glue/float/staple) with natural grade (ABC Grade) shows just the right amount of character. Ultra-matte aluminum oxide urethane finish. Modern light colours with limited knots and colour variation characterize The Summit Collection giving the look of a natural oil finish with ultimate wear performance.","3/4""ù x 6""ù x RL (15.75""ù ""ì 74.8""ù)",,"18.65 SF/CT, 48 CT/PA",,Four-sided bevel,Low gloss UV finish,25 year residential & 5 year light commercial,"Float, glue, staple",,Can be installed over radiant heat. See installation instructions (oak only).,Medium,,Brown,Floor,,,"Glue, Float, Staple","Bedroom, Kitchen, Laundry Room, Living Room, Indoor",Engineered,https://www.division9.ca/img/common_pixel.svg
WHITE OAK CARIBOU,LAULMAN2U7S30,Glenbury,"Rustic, random width (4""ù/5""ù/6""ù) planks in contemporary weathered colours. The decor surface is treated to give the wood an aged appearance, while allowing the natural character of the wood to come through. Light brushing, hand-sculpting, and a unique colour process produces a high-end, custom look and feel.",,,,,4 sided bevel,Maximus Aluminum Oxide,25 year residential & 5 year light commercial,"nail, staple, glue, float",,can be installed over water based radiant heat - see installation instructions,Medium,,Brown,Floor,,,"Glue, Float, Staple, Nail","Basement, Bedroom, Living Room, Bathroom, Indoor",,https://www.division9.ca/img/common_pixel.svg
WHITE OAK CASCADE,LAULMBM2U4S30,Nature Reserve,"Rustic long planks in contemporary weathered colours. Light brushing and a unique colour process give Nature Reserve a custom look and feel. The decor surface is treated to give the wood an aged appearance, while allowing the natural character of the wood to come through.",,,,,4 sided bevel,Aluminum Oxide,"25 year residential, 5 year light commercial","nail, staple, glue or float. Use glue-assist method when stapling down",,can be installed over water based radiant heat - see installation instructions. Only Oak species are approved. ,Medium,,"Brown, Grey",Floor,,,"Glue, Float, Staple, Nail","Basement, Bedroom, Living Room",Engineered,https://www.division9.ca/img/common_pixel.svg
WHITE OAK CASSIDY,LAUGLEN75CASSID,Glencoe 7.5,Glencoe 7.5 is produced using ABC Grade timber. Moderate colour variation with limited knots and character. Hand-scraped surface and bevels are truly sculped by hand. No two planks are the same. Ultra-Matte UV urethane finish.,"0.6""ùx7.5""ùxRL (15.75""ù-72.05""ù)(15mm x190mm x RL (400mm-1830mm)",,"29.94 SF/CT, 35 CT/PA",,4-side hand-sculpted bevel,UV,25 year residential & 5 year light commercial,"Float, glue, staple, or nail",,Approved for water based radiant heat systems. See installations instructions.,Medium,,Grey,Floor,,,"Glue, Float, Staple, Nail","Basement, Bedroom, Kitchen, Laundry Room, Living Room, Indoor",Engineered,https://www.division9.ca/img/common_pixel.svg
WHITE OAK CASSIDY,LAUCONTEXCASSID,Context,"""¢ Ply-core engineered construction handles moisture changes easily. ""¢ 1/2""ù x 5""ù Contemporary Brushed European White Oak. ""¢ Durable, ultra-matt urethane finish. Modern colours. ""¢ Drop Lock profile with four-side micro-bevels. ""¢ Easy installation: Glue, float or staple. ""¢ Install on any level of the house. ""¢ CAN/CSA0160-16 and FloorScore certified for indoor air quality.","1/2"" x 5"" x RL(15.75-47.24) / 12mm x 120mm x RL(400-1200mm)",,"24 .8 SF/CT, 36 CT/PA",,4-sided micro bevel,UV,25 year residential & 5 year light commercial,"Float, glue, staple, or nail",,Can be installed over radiant heat,Medium,,Beige,Floor,,,"Click, Glue, Float, Staple, Nail","Basement, Bedroom, Kitchen, Laundry Room, Living Room, Indoor",,https://www.division9.ca/img/common_pixel.svg
WHITE OAK CHESTNUT,LAUGLEN75CHESTN,Glencoe 7.5,Glencoe 7.5 is produced using ABC Grade timber. Moderate colour variation with limited knots and character. Hand-scraped surface and bevels are truly sculped by hand. No two planks are the same. Ultra-Matte UV urethane finish.,"0.6""ùx7.5""ùxRL (15.75""ù-72.05""ù)(15mm x190mm x RL (400mm-1830mm)",,"29.94 SF/CT, 35 CT/PA",,4-side hand-sculpted bevel,UV,25 year residential & 5 year light commercial,"Float, glue, staple, or nail",,Approved for water based radiant heat systems. See installations instructions.,Dark,,Grey,Floor,,,"Glue, Float, Staple, Nail","Basement, Bedroom, Kitchen, Laundry Room, Living Room, Indoor",Engineered,https://www.division9.ca/img/common_pixel.svg
WHITE OAK CHESTNUT,LAUCONTEXCHESTN,Context,"""¢ Ply-core engineered construction handles moisture changes easily. ""¢ 1/2""ù x 5""ù Contemporary Brushed European White Oak. ""¢ Durable, ultra-matt urethane finish. Modern colours. ""¢ Drop Lock profile with four-side micro-bevels. ""¢ Easy installation: Glue, float or staple. ""¢ Install on any level of the house. ""¢ CAN/CSA0160-16 and FloorScore certified for indoor air quality.","1/2"" x 5"" x RL(15.75-47.24) / 12mm x 120mm x RL(400-1200mm)",,"24 .8 SF/CT, 36 CT/PA",,4-sided micro bevel,UV,25 year residential & 5 year light commercial,"Float, glue, staple, or nail",,Can be installed over radiant heat,Dark,,Brown,Floor,,,"Click, Glue, Float, Staple, Nail","Basement, Bedroom, Kitchen, Laundry Room, Living Room, Indoor",,https://www.division9.ca/img/common_pixel.svg
WHITE OAK COFFEE HANDSCRAPED,LAULMAW213S2,Gevaldo 5.5,"Gevaldo 5.5"" planks have a multi-ply core with a tongue and groove fastening system. The tough Maximus Aluminum Oxide finish provides each plank with superior abrasion resistance.",,,,,4 sided micro bevel,flat Maximus Aluminum Oxide,25 year residential & 5 year light commercial,"staple, glue, float",,"can be installed over water based radiant heat systems, except Brazilian Cherry and Maple which are not recommended nor warranted over radiant heat. See installations instructions.",Medium,,Brown,Floor,,,"Glue, Float, Staple, Nail","Basement, Bedroom, Living Room",Engineered,https://www.division9.ca/img/common_pixel.svg
WHITE OAK DANBURY,LAUPAISDANBURY,Paisley,"Paisley planks show the full range of colour variation and character found within the White Oak and Maple species. Paisley is highly styled. Character marks are hand-filled and colour matched. The bevels are hand-scraped and hand-sanded. The plank surfaces are textured with a kerf-sawn feature. The staining and finishing process enhances the texture, natural grain and character of the wood. A modern, ultra-matte urethane finish provide a natural look while offering unsurpassed wear resistance. Life-time structural and a 25-year residential wear warranty.",,,,,handscraped bevel,UV lacquer,"25 year residential, 5 year light commercial and lifetime structural","glue, float, staple or nail",CARB2 - meets the quality assurance requirements stated,"Approved over water based radiant heat systems, see installation instructions.Not approved for Maple species.",Medium,,Brown,Floor,,,"Glue, Float, Staple, Nail","Basement, Bedroom, Kitchen, Laundry Room, Living Room, Bathroom, Indoor",Engineered,https://www.division9.ca/img/common_pixel.svg
WHITE OAK DERBY,LAUCONTEXDERBY,Context,"""¢ Ply-core engineered construction handles moisture changes easily. ""¢ 1/2""ù x 5""ù Contemporary Brushed European White Oak. ""¢ Durable, ultra-matt urethane finish. Modern colours. ""¢ Drop Lock profile with four-side micro-bevels. ""¢ Easy installation: Glue, float or staple. ""¢ Install on any level of the house. ""¢ CAN/CSA0160-16 and FloorScore certified for indoor air quality.","1/2"" x 5"" x RL(15.75-47.24) / 12mm x 120mm x RL(400-1200mm)",,"24 .8 SF/CT, 36 CT/PA",,4-sided micro bevel,UV,25 year residential & 5 year light commercial,"Float, glue, staple, or nail",,Can be installed over radiant heat,Dark,,Brown,Floor,,,"Click, Glue, Float, Staple, Nail","Basement, Bedroom, Kitchen, Laundry Room, Living Room, Indoor",,https://www.division9.ca/img/common_pixel.svg
WHITE OAK DUNKIRK,RHWSUMMDUN,Summit,"Engineered plank offered in brushed European White Oak and Birch at 3/4"" x 6"" x 72"" (RL) size. The tongue and groove profile (glue/float/staple) with natural grade (ABC Grade) shows just the right amount of character. Ultra-matte aluminum oxide urethane finish. Modern light colours with limited knots and colour variation characterize The Summit Collection giving the look of a natural oil finish with ultimate wear performance.","3/4""ù x 6""ù x RL (15.75""ù ""ì 74.8""ù)",,"18.65 SF/CT, 48 CT/PA",,Four-sided bevel,Low gloss UV finish,25 year residential & 5 year light commercial,"Float, glue, staple",,Can be installed over radiant heat. See installation instructions (oak only).,Medium,,Brown,Floor,,,"Glue, Float, Staple","Bedroom, Kitchen, Laundry Room, Living Room, Indoor",Engineered,https://www.division9.ca/img/common_pixel.svg
WHITE OAK DURHAM,LAUPAISDURHAM,Paisley,"Paisley planks show the full range of colour variation and character found within the White Oak and Maple species. Paisley is highly styled. Character marks are hand-filled and colour matched. The bevels are hand-scraped and hand-sanded. The plank surfaces are textured with a kerf-sawn feature. The staining and finishing process enhances the texture, natural grain and character of the wood. A modern, ultra-matte urethane finish provide a natural look while offering unsurpassed wear resistance. Life-time structural and a 25-year residential wear warranty.",,,,,handscraped bevel,UV lacquer,"25 year residential, 5 year light commercial and lifetime structural","glue, float, staple or nail",CARB2 - meets the quality assurance requirements stated,"Approved over water based radiant heat systems, see installation instructions.Not approved for Maple species.",Medium,,Brown,Floor,,,"Glue, Float, Staple, Nail","Basement, Bedroom, Kitchen, Laundry Room, Living Room, Bathroom, Indoor",Engineered,https://www.division9.ca/img/common_pixel.svg
WHITE OAK GLASGOW,LAUGLEN75GLASGO,Glencoe 7.5,Glencoe 7.5 is produced using ABC Grade timber. Moderate colour variation with limited knots and character. Hand-scraped surface and bevels are truly sculped by hand. No two planks are the same. Ultra-Matte UV urethane finish.,"0.6""ùx7.5""ùxRL (15.75""ù-72.05""ù)(15mm x190mm x RL (400mm-1830mm)",,"29.94 SF/CT, 35 CT/PA",,4-side hand-sculpted bevel,UV,25 year residential & 5 year light commercial,"Float, glue, staple, or nail",,Approved for water based radiant heat systems. See installations instructions.,Dark,,Grey,Floor,,,"Glue, Float, Staple, Nail","Basement, Bedroom, Kitchen, Laundry Room, Living Room, Indoor",Engineered,https://www.division9.ca/img/common_pixel.svg
WHITE OAK HEBRIDES,LAUGLEN75HEBRID,Glencoe 7.5,Glencoe 7.5 is produced using ABC Grade timber. Moderate colour variation with limited knots and character. Hand-scraped surface and bevels are truly sculped by hand. No two planks are the same. Ultra-Matte UV urethane finish.,"0.6""ùx7.5""ùxRL (15.75""ù-72.05""ù)(15mm x190mm x RL (400mm-1830mm)",,"29.94 SF/CT, 35 CT/PA",,4-side hand-sculpted bevel,UV,25 year residential & 5 year light commercial,"Float, glue, staple, or nail",,Approved for water based radiant heat systems. See installations instructions.,Medium,,White,Floor,,,"Glue, Float, Staple, Nail","Basement, Bedroom, Kitchen, Laundry Room, Living Room, Indoor",Engineered,https://www.division9.ca/img/common_pixel.svg
WHITE OAK HEWITT,LAUGLEN75HEWITT,Glencoe 7.5,Glencoe 7.5 is produced using ABC Grade timber. Moderate colour variation with limited knots and character. Hand-scraped surface and bevels are truly sculped by hand. No two planks are the same. Ultra-Matte UV urethane finish.,"0.6""ùx7.5""ùxRL (15.75""ù-72.05""ù)(15mm x190mm x RL (400mm-1830mm)",,"29.94 SF/CT, 35 CT/PA",,4-side hand-sculpted bevel,UV,25 year residential & 5 year light commercial,"Float, glue, staple, or nail",,Approved for water based radiant heat systems. See installations instructions.,Medium,,Taupe,Floor,,,"Glue, Float, Staple, Nail","Basement, Bedroom, Kitchen, Laundry Room, Living Room, Indoor",Engineered,https://www.division9.ca/img/common_pixel.svg
WHITE OAK HEWITT,LAUCONTEXHEWITT,Context,"""¢ Ply-core engineered construction handles moisture changes easily. ""¢ 1/2""ù x 5""ù Contemporary Brushed European White Oak. ""¢ Durable, ultra-matt urethane finish. Modern colours. ""¢ Drop Lock profile with four-side micro-bevels. ""¢ Easy installation: Glue, float or staple. ""¢ Install on any level of the house. ""¢ CAN/CSA0160-16 and FloorScore certified for indoor air quality.","1/2"" x 5"" x RL(15.75-47.24) / 12mm x 120mm x RL(400-1200mm)",,"24 .8 SF/CT, 36 CT/PA",,4-sided micro bevel,UV,25 year residential & 5 year light commercial,"Float, glue, staple, or nail",,Can be installed over radiant heat,Medium,,Beige,Floor,,,"Click, Glue, Float, Staple, Nail","Basement, Bedroom, Kitchen, Laundry Room, Living Room, Indoor",,https://www.division9.ca/img/common_pixel.svg
WHITE OAK HUDSON BRUSHED,LAULMAY2T2FBR,Kendall 5.5,"Available in European White Oak, Kendall Lock Brushed is suited for installation in both modern or traditional interiors. Select & Better Grade gives a formal, uniform appearance. Brushed, matte gloss, Maximus Aluminum Oxide finish. Four-side, micro beveled edges. Durable Unilin Drop Lock profile, for easy installation. Glue, staple or nail down installation is recommended",,,,,Four-sided micro bevel,,25 YEAR (Residential) 5 YEAR (Light Commercial),"glue , nail , staple, float.",,Can be installed over water based radiant heat. See installation instructions. Only Oak species are approved. ,Medium,,Grey,Floor,,,"Glue, Float, Staple, Nail","Basement, Bedroom, Kitchen, Laundry Room, Living Room",,https://www.division9.ca/img/common_pixel.svg
WHITE OAK KILLARNY,LAUBELVKIL,Belvedere,"Belvedere is a highly styled 1/2"" x 7.5"" x 74.8"" (random length) engineered flooring. The planks show a range of colour variation and character found within each species. The surface is lightly brushed. The staining techniques used for each species result in unique looks that enhance the natural grain and character of the wood. Species/colours include Hickory (4), White Oak (3) and Maple (2). Nine colours in total. A modern ultra-matte urethane finish provides a natural look while providing unsurpassed wear resistance. 25 year residential wear warranty. T&G profile: Glue/Float/Staple/Nail",,,,,"4 sided bevel (Hickory/Oak), Hand sanded bevel (Maple)",Low gloss UV finish,"25 year residential, 5 year light commercial and lifetime structural","Float, glue, or staple","CARB2 - meets the quality assurance requirements stated in section 93120.12, appendix 2, title 17, california code of regulations. Compliant with CAN/CSA 0160-16","Approved over water based radiant heat systems, see installation instructions. Only Oak and Walnut species are approved.",Medium,,Taupe,Floor,,,"Glue, Float, Staple","Basement, Bedroom, Kitchen, Living Room",Engineered,https://www.division9.ca/img/common_pixel.svg
WHITE OAK LANCASTER,RHWSUMMLAN,Summit,"Engineered plank offered in brushed European White Oak and Birch at 3/4"" x 6"" x 72"" (RL) size. The tongue and groove profile (glue/float/staple) with natural grade (ABC Grade) shows just the right amount of character. Ultra-matte aluminum oxide urethane finish. Modern light colours with limited knots and colour variation characterize The Summit Collection giving the look of a natural oil finish with ultimate wear performance.","3/4""ù x 6""ù x RL (15.75""ù ""ì 74.8""ù)",,"18.65 SF/CT, 48 CT/PA",,Four-sided bevel,Low gloss UV finish,25 year residential & 5 year light commercial,"Float, glue, staple",,Can be installed over radiant heat. See installation instructions (oak only).,Medium,,Brown,Floor,,,"Glue, Float, Staple","Bedroom, Kitchen, Laundry Room, Living Room, Indoor",Engineered,https://www.division9.ca/img/common_pixel.svg
WHITE OAK LEGACY GREY BRUSHED,LAULMAY2E3FBR,Kendall 5.5,"Available in European White Oak, Kendall Lock Brushed is suited for installation in both modern or traditional interiors. Select & Better Grade gives a formal, uniform appearance. Brushed, matte gloss, Maximus Aluminum Oxide finish. Four-side, micro beveled edges. Durable Unilin Drop Lock profile, for easy installation. Glue, staple or nail down installation is recommended",,,,,Four-sided micro bevel,,25 YEAR (Residential) 5 YEAR (Light Commercial),"glue , nail , staple, float.",,Can be installed over water based radiant heat. See installation instructions. Only Oak species are approved. ,Medium,,Grey,Floor,,,"Glue, Float, Staple, Nail","Basement, Bedroom, Kitchen, Laundry Room, Living Room",,https://www.division9.ca/img/common_pixel.svg
WHITE OAK MULLER,LAUGLEN75MULLER,Glencoe 7.5,Glencoe 7.5 is produced using ABC Grade timber. Moderate colour variation with limited knots and character. Hand-scraped surface and bevels are truly sculped by hand. No two planks are the same. Ultra-Matte UV urethane finish.,"0.6""ùx7.5""ùxRL (15.75""ù-72.05""ù)(15mm x190mm x RL (400mm-1830mm)",,"29.94 SF/CT, 35 CT/PA",,4-side hand-sculpted bevel,UV,25 year residential & 5 year light commercial,"Float, glue, staple, or nail",,Approved for water based radiant heat systems. See installations instructions.,Medium,,Brown,Floor,,,"Glue, Float, Staple, Nail","Basement, Bedroom, Kitchen, Laundry Room, Living Room, Indoor",Engineered,https://www.division9.ca/img/common_pixel.svg
WHITE OAK NATURAL,RHWSUMMNATWO,Summit,"Engineered plank offered in brushed European White Oak and Birch at 3/4"" x 6"" x 72"" (RL) size. The tongue and groove profile (glue/float/staple) with natural grade (ABC Grade) shows just the right amount of character. Ultra-matte aluminum oxide urethane finish. Modern light colours with limited knots and colour variation characterize The Summit Collection giving the look of a natural oil finish with ultimate wear performance.","3/4""ù x 6""ù x RL (15.75""ù ""ì 74.8""ù)",,"18.65 SF/CT, 48 CT/PA",,Four-sided bevel,Low gloss UV finish,25 year residential & 5 year light commercial,"Float, glue, staple",,Can be installed over radiant heat. See installation instructions (oak only).,Medium,,Beige,Floor,,,"Glue, Float, Staple","Bedroom, Kitchen, Laundry Room, Living Room, Indoor",Engineered,https://www.division9.ca/img/common_pixel.svg
WHITE OAK NATURAL,LAUGLEN75NATURA,Glencoe 7.5,Glencoe 7.5 is produced using ABC Grade timber. Moderate colour variation with limited knots and character. Hand-scraped surface and bevels are truly sculped by hand. No two planks are the same. Ultra-Matte UV urethane finish.,"0.6""ùx7.5""ùxRL (15.75""ù-72.05""ù)(15mm x190mm x RL (400mm-1830mm)",,"29.94 SF/CT, 35 CT/PA",,4-side hand-sculpted bevel,UV,25 year residential & 5 year light commercial,"Float, glue, staple, or nail",,Approved for water based radiant heat systems. See installations instructions.,Medium,,Grey,Floor,,,"Glue, Float, Staple, Nail","Basement, Bedroom, Kitchen, Laundry Room, Living Room, Indoor",Engineered,https://www.division9.ca/img/common_pixel.svg
WHITE OAK NEW CASTLE,RHWSUMMNEW,Summit,"Engineered plank offered in brushed European White Oak and Birch at 3/4"" x 6"" x 72"" (RL) size. The tongue and groove profile (glue/float/staple) with natural grade (ABC Grade) shows just the right amount of character. Ultra-matte aluminum oxide urethane finish. Modern light colours with limited knots and colour variation characterize The Summit Collection giving the look of a natural oil finish with ultimate wear performance.","3/4""ù x 6""ù x RL (15.75""ù ""ì 74.8""ù)",,"18.65 SF/CT, 48 CT/PA",,Four-sided bevel,Low gloss UV finish,25 year residential & 5 year light commercial,"Float, glue, staple",,Can be installed over radiant heat. See installation instructions (oak only).,Medium,,Beige,Floor,,,"Glue, Float, Staple","Bedroom, Kitchen, Laundry Room, Living Room, Indoor",Engineered,https://www.division9.ca/img/common_pixel.svg
WHITE OAK OXFORD,LAUGLEN75OXFORD,Glencoe 7.5,Glencoe 7.5 is produced using ABC Grade timber. Moderate colour variation with limited knots and character. Hand-scraped surface and bevels are truly sculped by hand. No two planks are the same. Ultra-Matte UV urethane finish.,"0.6""ùx7.5""ùxRL (15.75""ù-72.05""ù)(15mm x190mm x RL (400mm-1830mm)",,"29.94 SF/CT, 35 CT/PA",,4-side hand-sculpted bevel,UV,25 year residential & 5 year light commercial,"Float, glue, staple, or nail",,Approved for water based radiant heat systems. See installations instructions.,Dark,,Grey,Floor,,,"Glue, Float, Staple, Nail","Basement, Bedroom, Kitchen, Laundry Room, Living Room, Indoor",Engineered,https://www.division9.ca/img/common_pixel.svg
WHITE OAK PALO ALTO,LAUBELVPAL,Belvedere,"Belvedere is a highly styled 1/2"" x 7.5"" x 74.8"" (random length) engineered flooring. The planks show a range of colour variation and character found within each species. The surface is lightly brushed. The staining techniques used for each species result in unique looks that enhance the natural grain and character of the wood. Species/colours include Hickory (4), White Oak (3) and Maple (2). Nine colours in total. A modern ultra-matte urethane finish provides a natural look while providing unsurpassed wear resistance. 25 year residential wear warranty. T&G profile: Glue/Float/Staple/Nail",,,,,"4 sided bevel (Hickory/Oak), Hand sanded bevel (Maple)",Low gloss UV finish,"25 year residential, 5 year light commercial and lifetime structural","Float, glue, or staple","CARB2 - meets the quality assurance requirements stated in section 93120.12, appendix 2, title 17, california code of regulations. Compliant with CAN/CSA 0160-16","Approved over water based radiant heat systems, see installation instructions. Only Oak and Walnut species are approved.",Medium,,"Beige, Brown",Floor,,,"Glue, Float, Staple","Basement, Bedroom, Kitchen, Living Room",Engineered,https://www.division9.ca/img/common_pixel.svg
WHITE OAK PALOMA,LAUGLEN75PALOMA,Glencoe 7.5,Glencoe 7.5 is produced using ABC Grade timber. Moderate colour variation with limited knots and character. Hand-scraped surface and bevels are truly sculped by hand. No two planks are the same. Ultra-Matte UV urethane finish.,"0.6""ùx7.5""ùxRL (15.75""ù-72.05""ù)(15mm x190mm x RL (400mm-1830mm)",,"29.94 SF/CT, 35 CT/PA",,4-side hand-sculpted bevel,UV,25 year residential & 5 year light commercial,"Float, glue, staple, or nail",,Approved for water based radiant heat systems. See installations instructions.,Medium,,Grey,Floor,,,"Glue, Float, Staple, Nail","Basement, Bedroom, Kitchen, Laundry Room, Living Room, Indoor",Engineered,https://www.division9.ca/img/common_pixel.svg
WHITE OAK PEWTER,LAULMCE2F7F,Gevaldo 4,"Available in Oak & Maple wood species, Gevaldo 4""ù is an ideal alternative to traditional ¬æ""ù solid hardwood flooring. Gevaldo features a 12-ply engineered construction for maximum stability. Traditional, smooth, low sheen, Maximus Aluminum Oxide finish. Four-side, micro beveled edges. 2mm sliced face veneer. No 1 Common & Better appearance grade presents a limited amount of natural Oak or Maple character. Tongue and groove profile. Glue, staple or nail down installation recommended.",,,,,Four-sided micro bevel,,25 Year (Residential) 5 Year (Light Commercial),"Glue, float, staple or nail",,Can be installed over water based radiant heat. See installation instructions. Only Oak and Walnut species are approved .,Medium,,"Brown, Grey",Floor,,,"Glue, Staple, Nail","Basement, Bedroom, Kitchen, Living Room",,https://www.division9.ca/img/common_pixel.svg
WHITE OAK PRIVAS BRUSHED,LAULMAW2M9FBR,Gevaldo 5.5,"Gevaldo 5.5"" planks have a multi-ply core with a tongue and groove fastening system. The tough Maximus Aluminum Oxide finish provides each plank with superior abrasion resistance.",,,,,4 sided micro bevel,flat Maximus Aluminum Oxide,25 year residential & 5 year light commercial,"staple, glue, float",,"can be installed over water based radiant heat systems, except Brazilian Cherry and Maple which are not recommended nor warranted over radiant heat. See installations instructions.",Light,,White,Floor,,,"Glue, Float, Staple, Nail","Basement, Bedroom, Living Room",Engineered,https://www.division9.ca/img/common_pixel.svg
WHITE OAK SIENNA,LAUPAISSIENNA,Paisley,"Paisley planks show the full range of colour variation and character found within the White Oak and Maple species. Paisley is highly styled. Character marks are hand-filled and colour matched. The bevels are hand-scraped and hand-sanded. The plank surfaces are textured with a kerf-sawn feature. The staining and finishing process enhances the texture, natural grain and character of the wood. A modern, ultra-matte urethane finish provide a natural look while offering unsurpassed wear resistance. Life-time structural and a 25-year residential wear warranty.",,,,,handscraped bevel,UV lacquer,"25 year residential, 5 year light commercial and lifetime structural","glue, float, staple or nail",CARB2 - meets the quality assurance requirements stated,"Approved over water based radiant heat systems, see installation instructions.Not approved for Maple species.",Medium,,Brown,Floor,,,"Glue, Float, Staple, Nail","Basement, Bedroom, Kitchen, Laundry Room, Living Room, Bathroom, Indoor",Engineered,https://www.division9.ca/img/common_pixel.svg
WHITE OAK SILVERADO,LAULMBM2U5S30,Nature Reserve,"Rustic long planks in contemporary weathered colours. Light brushing and a unique colour process give Nature Reserve a custom look and feel. The decor surface is treated to give the wood an aged appearance, while allowing the natural character of the wood to come through.",,,,,4 sided bevel,Aluminum Oxide,"25 year residential, 5 year light commercial","nail, staple, glue or float. Use glue-assist method when stapling down",,can be installed over water based radiant heat - see installation instructions. Only Oak species are approved. ,Medium,,"Brown, Grey",Floor,,,"Glue, Float, Staple, Nail","Basement, Bedroom, Living Room",Engineered,https://www.division9.ca/img/common_pixel.svg
WHITE OAK SUNRISE,LAUCONTEXSUNRIS,Context,"""¢ Ply-core engineered construction handles moisture changes easily. ""¢ 1/2""ù x 5""ù Contemporary Brushed European White Oak. ""¢ Durable, ultra-matt urethane finish. Modern colours. ""¢ Drop Lock profile with four-side micro-bevels. ""¢ Easy installation: Glue, float or staple. ""¢ Install on any level of the house. ""¢ CAN/CSA0160-16 and FloorScore certified for indoor air quality.","1/2"" x 5"" x RL(15.75-47.24) / 12mm x 120mm x RL(400-1200mm)",,"24 .8 SF/CT, 36 CT/PA",,4-sided micro bevel,UV,25 year residential & 5 year light commercial,"Float, glue, staple, or nail",,Can be installed over radiant heat,Medium,,Beige,Floor,,,"Click, Glue, Float, Staple, Nail","Basement, Bedroom, Kitchen, Laundry Room, Living Room, Indoor",,https://www.division9.ca/img/common_pixel.svg
WHITE OAK TAN BRUSHED,LAULMCE2P6FBR,"Gevaldo 4"" Brushed","Available in European White Oak, Gevaldo 4""ù Brushed is an ideal alternative to traditional .""ù solid hardwood flooring. Gevaldo features a 12-ply engineered construction for maximum stability. Modern, matte gloss, brushed, maximus Aluminum Oxide finish. Four-side micro beveled edges. No 1 Common & Better appearance grade presents a limited amount of natural White Oak character. Tongue and groove profile. Glue, staple or nail down installation recommended.",,,,,Four-sided micro bevel,,25 Year (Residential) 5 Year (Light Commercial),"Glue, float, staple or nail",,Can be installed over radiant heat.,Medium,,"Beige, Brown, Grey",Floor,,,"Glue, Staple, Nail","Basement, Bedroom, Kitchen, Laundry Room, Living Room",,https://www.division9.ca/img/common_pixel.svg
